restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,cuisine
6506,Arab Kitchen,Fast Food,Egatoor,3.6,12.8318,80.2292,Arabian
6506,Arab Kitchen,Fast Food,Egatoor,3.6,12.8318,80.2292,Rolls
6506,Arab Kitchen,Fast Food,Egatoor,3.6,12.8318,80.2292,Fast Food
6507,Andhra Mirchis,Cloud Kitchen,Perungudi,3.6,12.9654,80.2461,Biryani
6507,Andhra Mirchis,Cloud Kitchen,Perungudi,3.6,12.9654,80.2461,Chinese
6507,Andhra Mirchis,Cloud Kitchen,Perungudi,3.6,12.9654,80.2461,Andhra
6508,Jayanthi Bhavan,Restaurant,Thiruvanmiyur,3.6,12.983,80.2594,South Indian
6509,Mad Lassi,Restaurant,Vadapalani,3.6,13.05,80.2121,Beverages
6509,Mad Lassi,Restaurant,Vadapalani,3.6,13.05,80.2121,Juices
6509,Mad Lassi,Restaurant,Vadapalani,3.6,13.05,80.2121,Ice Cream
6510,SS Star Ambur Briyani,Restaurant,Anna Nagar West,3.2,13.0862,80.2018,Biryani
6510,SS Star Ambur Briyani,Restaurant,Anna Nagar West,3.2,13.0862,80.2018,Chinese
6510,SS Star Ambur Briyani,Restaurant,Anna Nagar West,3.2,13.0862,80.2018,Chettinad
6510,SS Star Ambur Briyani,Restaurant,Anna Nagar West,3.2,13.0862,80.2018,Seafood
6510,SS Star Ambur Briyani,Restaurant,Anna Nagar West,3.2,13.0862,80.2018,Kebab
6510,SS Star Ambur Briyani,Restaurant,Anna Nagar West,3.2,13.0862,80.2018,North Indian
6510,SS Star Ambur Briyani,Restaurant,Anna Nagar West,3.2,13.0862,80.2018,Arabian
6511,Adyar Sri Anna Lakshmi Catering Services,Cloud Kitchen,Adyar,3.4,13.0012,80.2565,South Indian
6512,VL Chaats  And Snacks,Fast Food,Chromepet,3.6,12.9516,80.1462,Street Food
6512,VL Chaats  And Snacks,Fast Food,Chromepet,3.6,12.9516,80.1462,Fast Food
6513,Chakra Cafe,Fast Food,Anna Nagar East,4.2,13.092,80.2236,Sandwich
6513,Chakra Cafe,Fast Food,Anna Nagar East,4.2,13.092,80.2236,Street Food
6513,Chakra Cafe,Fast Food,Anna Nagar East,4.2,13.092,80.2236,Ice Cream
6513,Chakra Cafe,Fast Food,Anna Nagar East,4.2,13.092,80.2236,Beverages
6514,Karaikudi Foods,Restaurant,GST Road,4.1,12.9975,80.1908,Chinese
6514,Karaikudi Foods,Restaurant,GST Road,4.1,12.9975,80.1908,South Indian
6515,Fcc Fast Food,Fast Food,Avadi,4.1,13.1067,80.097,Fast Food
6515,Fcc Fast Food,Fast Food,Avadi,4.1,13.1067,80.097,Chinese
6516,Soupy Koopy,Cloud Kitchen,Mylapore,3.6,13.0368,80.2676,Chinese
6517,Samyu Veg Restaurant,Restaurant,Medavakkam,3.7,12.92,80.192,South Indian
6517,Samyu Veg Restaurant,Restaurant,Medavakkam,3.7,12.92,80.192,Chinese
6517,Samyu Veg Restaurant,Restaurant,Medavakkam,3.7,12.92,80.192,North Indian
6518,Frinza,Cloud Kitchen,Kilpauk,3.6,13.0828,80.2417,Bakery
6519,Ahmed Bhai Zeragasamba Briyani & BBQ,Restaurant,Adambakkam,3.6,12.967,80.199,Biryani
6519,Ahmed Bhai Zeragasamba Briyani & BBQ,Restaurant,Adambakkam,3.6,12.967,80.199,Chinese
6520,The Royal Gazebo,Restaurant,Perambur,3.6,13.121,80.2326,South Indian
6520,The Royal Gazebo,Restaurant,Perambur,3.6,13.121,80.2326,Chinese
6520,The Royal Gazebo,Restaurant,Perambur,3.6,13.121,80.2326,North Indian
6520,The Royal Gazebo,Restaurant,Perambur,3.6,13.121,80.2326,Biryani
