outlets,avg_rating,median_rating,latitude,longitude,segment_diversity
17,3.5352941176470587,3.6,12.980041176470587,80.2279294117647,0.9163133490018098
17,3.4705882352941178,3.6,12.75124705882353,80.03468823529411,0.5771200097303041
17,3.4,3.6,12.970964705882354,80.23881176470589,0.587786143077036
16,3.50625,3.6,12.923024999999999,80.23884375,0.6556390622295665
15,3.6599999999999997,3.7,12.88974,80.11380000000001,0.510971521326466
13,3.523076923076923,3.6,13.071430769230771,80.13903076923076,0.3304214201784763
13,3.069230769230769,3.1,13.018592307692309,80.1595846153846,0.5381102783864219
12,3.233333333333333,3.45,12.940291666666667,80.23016666666666,0.3962406251802891
11,3.1727272727272724,3.6,12.832845454545456,80.22581818181818,0.36526508500031124
10,3.19,3.3499999999999996,13.00514,80.2474,0.6154797815570052
10,3.22,3.3,12.812479999999999,80.24877000000001,0.5618250990757782
9,3.5,3.6,13.010944444444444,80.19998888888888,0.5101643522524942
9,3.477777777777778,3.6,13.021422222222222,80.24815555555557,0.33035868661274076
9,3.5555555555555554,3.6,12.973433333333334,80.21319999999999,0.5101643522524942
7,3.8857142857142857,4.0,13.0405,80.2503,0.38294495142697227
7,3.9857142857142853,4.1,13.0455,80.2599,-0.0
7,3.6999999999999997,3.7,12.973885714285714,80.07775714285715,0.32840937867808384
6,3.8166666666666664,4.1,13.0617,80.2544,0.2166741405494514
6,3.516666666666667,3.5,13.0782,80.19425,0.4863826390090817
6,4.183333333333334,4.2,13.0569,80.2425,-0.0
6,4.066666666666667,4.25,13.0405,80.2503,0.2166741405494514
6,4.166666666666667,4.1,13.018099999999999,80.2726,-0.0
6,3.983333333333333,4.05,13.033499999999998,80.2531,-0.0
6,3.8166666666666664,3.8,13.0311,80.2579,0.5974937501201927
6,4.283333333333333,4.25,13.0067,80.2206,0.2166741405494514
6,3.3666666666666667,3.6,13.025983333333334,80.24406666666665,0.4172097224626076
6,3.6333333333333333,3.8499999999999996,13.058766666666665,80.23533333333334,0.5974937501201927
5,3.7399999999999998,3.6,12.9449,80.22694,0.5073093649624542
5,3.7399999999999998,3.7,12.997499999999999,80.1908,0.24064269829578747
5,3.34,3.5,12.6819,79.9888,0.24064269829578747
5,4.340000000000001,4.2,13.056900000000002,80.2425,-0.0
4,3.9000000000000004,3.8,12.6238,80.1952,-0.0
4,3.725,3.7,13.101275,80.18424999999999,0.5
4,3.6,3.5999999999999996,13.0418,80.2341,-0.0
4,3.575,3.75,12.9733,80.2509,0.2704260414863776
4,3.675,3.65,13.001975,80.10792500000001,0.5
4,3.25,3.35,12.8372,79.7042,0.33333333333333337
